"Date","Time","Temp","SpCond","DO Conc","DO Charge","DO%","Battery","Cond"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","%","V","mS/cm"
"06/01/10","02:24:40",23.87,0.198,8.77,40,104.0,6.0,0.194
"06/01/10","02:28:40",23.85,0.198,8.76,40,103.8,6.0,0.194
"06/01/10","02:32:40",23.83,0.198,8.78,40,104.0,6.0,0.193
"06/01/10","02:36:40",23.83,0.198,8.75,40,103.6,6.0,0.193
"06/01/10","02:40:40",23.83,0.198,8.76,40,103.7,6.0,0.193
"06/01/10","02:44:40",23.81,0.198,8.72,40,103.3,6.0,0.194
"06/01/10","02:48:40",23.81,0.197,8.74,40,103.5,6.0,0.193
"06/01/10","02:52:40",23.79,0.197,8.74,40,103.5,6.0,0.193
"06/01/10","02:56:40",23.78,0.197,8.68,40,102.8,6.0,0.193
"06/01/10","03:00:40",23.78,0.198,8.68,40,102.7,6.0,0.193
"06/01/10","03:04:40",23.75,0.197,8.67,40,102.5,6.0,0.193
"06/01/10","03:08:40",23.74,0.197,8.68,40,102.6,6.0,0.193
"06/01/10","03:12:40",23.72,0.197,8.69,40,102.8,6.0,0.192
"06/01/10","03:16:40",23.71,0.197,8.67,40,102.5,6.0,0.192
"06/01/10","03:20:40",23.69,0.197,8.66,40,102.4,6.0,0.193
"06/01/10","03:24:40",23.68,0.197,8.68,40,102.5,6.0,0.192
"06/01/10","03:28:40",23.68,0.197,8.69,40,102.7,6.0,0.192
"06/01/10","03:32:40",23.65,0.198,8.69,40,102.6,6.0,0.193
"06/01/10","03:36:40",23.66,0.198,8.65,40,102.2,6.0,0.193
"06/01/10","03:40:40",23.65,0.198,8.67,40,102.4,6.0,0.193
"06/01/10","03:44:40",23.64,0.198,8.66,40,102.2,6.0,0.193
"06/01/10","03:48:40",23.63,0.198,8.63,40,101.9,6.0,0.193
"06/01/10","03:52:40",23.62,0.198,8.62,40,101.8,6.0,0.192
"06/01/10","03:56:40",23.61,0.198,8.62,40,101.7,6.0,0.192
"06/01/10","04:00:40",23.59,0.198,8.62,40,101.7,6.0,0.192
"06/01/10","04:04:40",23.58,0.198,8.61,40,101.5,6.0,0.192
"06/01/10","04:08:40",23.58,0.198,8.62,40,101.6,6.0,0.192
"06/01/10","04:12:40",23.55,0.197,8.61,40,101.5,6.0,0.192
"06/01/10","04:16:40",23.54,0.198,8.61,40,101.5,6.0,0.192
"06/01/10","04:20:40",23.52,0.198,8.61,40,101.4,6.0,0.192
"06/01/10","04:24:40",23.52,0.197,8.61,40,101.4,6.0,0.192
"06/01/10","04:28:40",23.51,0.197,8.61,40,101.4,6.0,0.192
"06/01/10","04:32:40",23.51,0.198,8.60,40,101.2,6.0,0.192
"06/01/10","04:36:40",23.49,0.197,8.63,40,101.6,6.0,0.192
"06/01/10","04:40:40",23.48,0.198,8.61,40,101.3,6.0,0.192
"06/01/10","04:44:40",23.47,0.197,8.60,40,101.2,6.0,0.192
"06/01/10","04:48:40",23.44,0.198,8.61,40,101.3,6.0,0.192
"06/01/10","04:52:40",23.45,0.198,8.62,40,101.3,6.0,0.192
"06/01/10","04:56:40",23.44,0.197,8.61,40,101.2,6.0,0.192
"06/01/10","05:00:40",23.43,0.197,8.60,40,101.1,6.0,0.192
"06/01/10","05:04:40",23.42,0.197,8.57,40,100.8,6.0,0.192
"06/01/10","05:08:40",23.41,0.197,8.58,40,100.9,6.0,0.191
"06/01/10","05:12:40",23.41,0.197,8.57,40,100.8,6.0,0.191
"06/01/10","05:16:40",23.39,0.197,8.56,40,100.6,6.0,0.191
"06/01/10","05:20:40",23.38,0.197,8.59,40,100.9,6.0,0.191
"06/01/10","05:24:40",23.37,0.197,8.55,40,100.4,6.0,0.191
"06/01/10","05:28:40",23.36,0.197,8.55,40,100.4,6.0,0.191
"06/01/10","05:32:40",23.35,0.198,8.56,40,100.5,6.0,0.191
"06/01/10","05:36:40",23.34,0.197,8.57,40,100.5,6.0,0.191
"06/01/10","05:40:40",23.33,0.198,8.55,40,100.3,6.0,0.191
"06/01/10","05:44:40",23.31,0.198,8.55,40,100.3,6.0,0.191
"06/01/10","05:48:40",23.29,0.198,8.53,40,100.0,6.0,0.191
"06/01/10","05:52:40",23.28,0.197,8.52,40,99.9,6.0,0.191
"06/01/10","05:56:40",23.28,0.197,8.53,39,100.0,5.9,0.191
"06/01/10","06:00:40",23.27,0.198,8.54,40,100.1,5.9,0.191
"06/01/10","06:04:40",23.25,0.198,8.54,40,100.0,6.0,0.191
"06/01/10","06:08:40",23.24,0.198,8.52,40,99.9,6.0,0.191
"06/01/10","06:12:40",23.23,0.199,8.51,40,99.6,6.0,0.192
"06/01/10","06:16:40",23.22,0.198,8.53,40,99.9,5.9,0.192
"06/01/10","06:20:40",23.22,0.199,8.52,40,99.8,5.9,0.192
"06/01/10","06:24:40",23.22,0.199,8.52,40,99.7,5.9,0.192
"06/01/10","06:28:40",23.20,0.199,8.52,40,99.7,5.9,0.192
"06/01/10","06:32:40",23.19,0.199,8.55,40,100.1,5.9,0.192
"06/01/10","06:36:40",23.17,0.199,8.56,40,100.1,5.9,0.192
"06/01/10","06:40:40",23.17,0.199,8.55,40,100.0,5.9,0.192
"06/01/10","06:44:40",23.15,0.199,8.53,40,99.7,5.9,0.192
"06/01/10","06:48:40",23.15,0.199,8.50,40,99.4,5.9,0.192
"06/01/10","06:52:40",23.13,0.199,8.49,40,99.3,5.9,0.192
"06/01/10","06:56:40",23.12,0.199,8.56,40,100.0,5.9,0.192
"06/01/10","07:00:40",23.12,0.199,8.51,40,99.4,5.9,0.192
"06/01/10","07:04:40",23.11,0.199,8.51,40,99.5,5.9,0.191
"06/01/10","07:08:40",23.11,0.199,8.53,40,99.7,5.9,0.191
"06/01/10","07:12:40",23.11,0.199,8.51,40,99.4,5.9,0.192
"06/01/10","07:16:40",23.11,0.199,8.51,40,99.4,5.9,0.192
"06/01/10","07:20:40",23.09,0.199,8.52,40,99.5,5.9,0.192
"06/01/10","07:24:40",23.10,0.199,8.52,40,99.6,5.9,0.192
"06/01/10","07:28:40",23.10,0.199,8.53,40,99.7,5.9,0.192
"06/01/10","07:32:40",23.10,0.199,8.53,40,99.6,5.9,0.192
"06/01/10","07:36:40",23.10,0.199,8.54,40,99.7,5.9,0.192
"06/01/10","07:40:40",23.10,0.199,8.55,40,99.9,5.9,0.192
"06/01/10","07:44:40",23.10,0.199,8.56,40,100.0,5.9,0.192
"06/01/10","07:48:40",23.10,0.199,8.56,40,100.1,5.9,0.192
"06/01/10","07:52:40",23.10,0.199,8.55,40,99.9,5.9,0.192
"06/01/10","07:56:40",23.09,0.199,8.61,40,100.6,5.9,0.192
"06/01/10","08:00:40",23.09,0.199,8.59,40,100.3,5.9,0.192
"06/01/10","08:04:40",23.10,0.199,8.58,40,100.3,5.9,0.192
"06/01/10","08:08:40",23.09,0.197,8.59,40,100.4,5.9,0.190
"06/01/10","08:12:40",23.10,0.197,8.59,40,100.4,5.9,0.190
"06/01/10","08:16:40",23.09,0.197,8.58,40,100.3,5.9,0.190
"06/01/10","08:20:40",23.10,0.197,8.58,39,100.2,5.9,0.190
"06/01/10","08:24:40",23.10,0.197,8.55,40,99.9,5.9,0.190
"06/01/10","08:28:40",23.10,0.197,8.58,40,100.2,5.9,0.190
"06/01/10","08:32:40",23.10,0.197,8.56,40,100.1,5.9,0.190
"06/01/10","08:36:40",23.08,0.197,8.56,40,100.0,5.9,0.190
"06/01/10","08:40:40",23.09,0.197,8.58,40,100.2,5.9,0.190
"06/01/10","08:44:40",23.07,0.197,8.61,40,100.6,5.9,0.190
"06/01/10","08:48:40",23.10,0.197,8.58,39,100.3,5.9,0.190
"06/01/10","08:52:40",23.09,0.197,8.57,40,100.1,5.9,0.190
"06/01/10","08:56:40",23.09,0.197,8.60,40,100.5,5.9,0.190
"06/01/10","09:00:40",23.10,0.197,8.61,40,100.6,5.9,0.190
"06/01/10","09:04:40",23.13,0.197,8.62,40,100.7,5.9,0.190
"06/01/10","09:08:40",23.13,0.198,8.63,40,100.9,5.9,0.191
"06/01/10","09:12:40",23.13,0.198,8.61,40,100.7,5.9,0.191
"06/01/10","09:16:40",23.15,0.198,8.62,40,100.9,5.9,0.191
"06/01/10","09:20:40",23.15,0.198,8.59,40,100.5,5.9,0.191
"06/01/10","09:24:40",23.16,0.198,8.60,40,100.6,5.9,0.191
"06/01/10","09:28:40",23.17,0.198,8.60,40,100.6,5.9,0.191
"06/01/10","09:32:40",23.19,0.198,8.63,40,101.0,5.9,0.191
"06/01/10","09:36:40",23.20,0.198,8.64,40,101.2,5.9,0.191
"06/01/10","09:40:40",23.21,0.198,8.64,40,101.2,5.9,0.191
"06/01/10","09:44:40",23.23,0.198,8.61,40,100.9,5.9,0.191
"06/01/10","09:48:40",23.23,0.198,8.64,40,101.2,5.9,0.191
"06/01/10","09:52:40",23.25,0.198,8.66,40,101.4,5.9,0.191
"06/01/10","09:56:40",23.27,0.198,8.62,40,101.0,5.9,0.191
"06/01/10","10:00:40",23.26,0.198,8.66,40,101.5,5.9,0.191
"06/01/10","10:04:40",23.27,0.198,8.67,40,101.7,5.9,0.191
"06/01/10","10:08:40",23.29,0.198,8.64,40,101.3,5.9,0.192
"06/01/10","10:12:40",23.30,0.198,8.63,40,101.2,5.9,0.192
"06/01/10","10:16:40",23.30,0.198,8.65,40,101.4,5.9,0.192
"06/01/10","10:20:40",23.33,0.198,8.64,40,101.4,5.9,0.192
"06/01/10","10:24:40",23.33,0.198,8.67,40,101.7,5.9,0.192
"06/01/10","10:28:40",23.37,0.198,8.65,40,101.5,5.9,0.192
"06/01/10","10:32:40",23.36,0.198,8.64,40,101.5,5.9,0.192
"06/01/10","10:36:40",23.37,0.198,8.65,40,101.5,5.9,0.192
"06/01/10","10:40:40",23.40,0.198,8.64,39,101.5,5.9,0.192
"06/01/10","10:44:40",23.43,0.198,8.64,40,101.6,5.9,0.192
"06/01/10","10:48:40",23.42,0.198,8.65,40,101.7,5.9,0.192
"06/01/10","10:52:40",23.44,0.198,8.64,40,101.6,5.9,0.192
"06/01/10","10:56:40",23.46,0.198,8.64,40,101.7,5.9,0.192
"06/01/10","11:00:40",23.46,0.198,8.65,40,101.7,5.9,0.192
"06/01/10","11:04:40",23.49,0.198,8.65,40,101.8,5.9,0.192
"06/01/10","11:08:40",23.52,0.198,8.65,40,101.9,5.9,0.193
"06/01/10","11:12:40",23.54,0.198,8.68,40,102.3,5.9,0.193
"06/01/10","11:16:40",23.55,0.198,8.66,40,102.1,5.9,0.193
"06/01/10","11:20:40",23.57,0.198,8.67,40,102.2,5.9,0.193
"06/01/10","11:24:40",23.58,0.198,8.67,40,102.2,5.9,0.193
"06/01/10","11:28:40",23.59,0.198,8.68,40,102.4,5.9,0.193
"06/01/10","11:32:40",23.61,0.198,8.67,40,102.3,5.9,0.193
"06/01/10","11:36:40",23.64,0.198,8.66,40,102.2,5.9,0.193
"06/01/10","11:40:40",23.66,0.198,8.66,40,102.3,5.9,0.193
"06/01/10","11:44:40",23.68,0.198,8.70,40,102.7,5.9,0.193
"06/01/10","11:48:40",23.71,0.198,8.68,40,102.6,5.9,0.193
"06/01/10","11:52:40",23.72,0.198,8.69,40,102.7,5.9,0.193
"06/01/10","11:56:40",23.76,0.198,8.71,40,103.1,5.9,0.193
"06/01/10","12:00:40",23.76,0.198,8.71,40,103.0,5.9,0.194
"06/01/10","12:04:40",23.81,0.198,8.71,40,103.1,5.9,0.194
"06/01/10","12:08:40",23.81,0.198,8.70,40,103.0,5.9,0.194
"06/01/10","12:12:40",23.83,0.198,8.71,40,103.2,5.9,0.194
