Date,Time,Temp,Battery,DO Conc,DO%
M/D/Y,hh:mm:ss,C,V,mg/L,%
08/15/09,9:50,11.4,5.9,17.4,159.4
08/15/09,10:00,11.41,5.9,17.53,160.6
08/15/09,10:10,11.41,5.9,17.98,164.7
08/15/09,10:20,11.41,5.9,17.13,156.9
08/15/09,10:30,11.48,5.9,18.13,166.3
08/15/09,10:40,11.43,5.8,17.63,161.6
08/15/09,10:50,11.41,5.9,17.38,159.2
08/15/09,11:00,11.44,5.9,17.42,159.7
08/15/09,11:10,11.47,5.9,17.76,162.9
08/15/09,11:20,11.47,5.9,18.1,166
08/15/09,11:30,11.4,5.9,17.96,164.4
08/15/09,11:40,11.42,5.9,18.08,165.6
08/15/09,11:50,11.42,5.9,17.64,161.6
08/15/09,12:00,11.5,5.9,18.2,167
08/15/09,12:10,11.51,5.9,18.33,168.3
08/15/09,12:20,11.54,5.9,18.58,170.7
08/15/09,12:30,11.58,5.9,18.73,172.2
08/15/09,12:40,11.48,5.9,17.76,163
08/15/09,12:50,11.37,5.9,17.3,158.3
08/15/09,13:00,11.38,5.9,17.96,164.5
08/15/09,13:10,11.38,5.9,17.49,160.1
08/15/09,13:20,11.37,5.9,17.77,162.7
08/15/09,13:30,11.42,5.9,17.71,162.3
08/15/09,13:40,11.58,5.9,18.73,172.3
08/15/09,13:50,11.71,5.9,19.22,177.2
08/15/09,14:00,11.52,5.9,19.17,176
08/15/09,14:10,11.63,5.8,18.16,167.2
08/15/09,14:20,11.49,5.9,18.51,169.9
08/15/09,14:30,11.52,5.9,18.77,172.4
08/15/09,14:40,11.62,5.9,18.67,171.9
08/15/09,14:50,11.28,5.9,18.38,167.8
08/15/09,15:00,11.64,5.9,18.93,174.3
08/15/09,15:10,11.55,5.9,18.76,172.4
08/15/09,15:20,11.57,5.9,19.48,179.1
08/15/09,15:30,11.52,5.9,19.01,174.6
08/15/09,15:40,11.6,5.9,19.22,176.9
08/15/09,15:50,11.62,5.9,19.49,179.4
08/15/09,16:00,11.87,5.9,19.2,177.8
08/15/09,16:10,11.36,5.9,18.91,173.1
08/15/09,16:20,11.49,5.9,18.01,165.3
08/15/09,16:30,11.21,5.9,16.74,152.6
08/15/09,16:40,11.2,5.9,17.46,159.2
08/15/09,16:50,11.68,5.9,19.03,175.4
08/15/09,17:00,12.04,5.9,19.7,183.1
08/15/09,17:10,12.2,5.9,19.95,186.1
08/15/09,17:20,11.51,5.9,19.35,177.6
08/15/09,17:30,11.67,5.9,19.2,176.9
08/15/09,17:40,11.89,5.9,19.24,178.2
