  Date        	Time        	Fo	Fm	Blank	Fv	Yield

Configuration: Ward12

04/23/12	10:40:00	2796	3152	672	356	0.112
04/23/12	10:45:00	2961	3421	672	460	0.134
04/23/12	10:50:00	2975	3516	672	541	0.153
04/23/12	10:55:00	2767	3092	672	325	0.105
04/23/12	11:00:00	2868	3145	672	277	0.088
04/23/12	11:05:00	2781	3154	672	373	0.118
04/23/12	11:10:00	2969	3666	672	697	0.190
04/23/12	11:15:00	3120	3771	672	651	0.172
04/23/12	11:20:00	2911	3178	672	267	0.084
04/23/12	11:25:00	2797	2940	672	143	0.048
04/23/12	11:30:00	2905	3234	672	329	0.101
04/23/12	11:35:00	2730	3032	672	302	0.099
04/23/12	11:40:00	2853	3165	672	312	0.098
04/23/12	11:45:00	2719	2965	672	246	0.082
04/23/12	11:50:00	2727	3178	672	451	0.141
04/23/12	11:55:00	2693	3046	672	353	0.115
04/23/12	12:00:00	2678	2966	672	288	0.097
04/23/12	12:05:00	2375	2605	672	230	0.088
04/23/12	12:10:00	2763	2994	672	231	0.077
04/23/12	12:15:00	2657	2939	672	282	0.095
04/23/12	12:20:00	2869	3181	672	312	0.098
04/23/12	12:25:00	2642	2921	672	279	0.095
04/23/12	12:30:00	2746	2974	672	228	0.076
04/23/12	12:35:00	2678	2958	672	280	0.094
04/23/12	12:40:00	2831	3161	672	330	0.104
04/23/12	12:45:00	2494	2796	672	302	0.108
04/23/12	12:50:00	2733	3024	672	291	0.096
04/23/12	12:55:00	2530	2826	672	296	0.104
04/23/12	13:00:00	2623	2836	672	213	0.075
04/23/12	13:05:00	2557	2829	672	272	0.096
04/23/12	13:10:00	2732	3047	672	315	0.103
04/23/12	13:15:00	2739	2934	672	195	0.066
04/23/12	13:20:00	2710	3049	672	339	0.111
04/23/12	13:25:00	2613	2871	672	258	0.089
04/23/12	13:30:00	2664	2970	672	306	0.103
04/23/12	13:35:00	2584	2730	672	146	0.053
04/23/12	13:40:00	2742	2950	672	208	0.070
04/23/12	13:45:00	2729	3129	672	400	0.127
04/23/12	13:50:00	2579	2943	672	364	0.123
04/23/12	13:55:00	2753	3064	672	311	0.101
04/23/12	14:00:00	2578	2768	672	190	0.068
04/23/12	14:05:00	2626	2924	672	298	0.101
04/23/12	14:10:00	2659	2803	672	144	0.051
04/23/12	14:15:00	2909	3347	672	438	0.130
04/23/12	14:20:00	2801	3306	672	505	0.152
04/23/12	14:25:00	2539	2805	672	266	0.094
04/23/12	14:30:00	2765	3110	672	345	0.110
04/23/12	14:35:00	2659	2906	672	247	0.084
04/23/12	14:40:00	2598	2965	672	367	0.123
04/23/12	14:45:00	2720	3086	672	366	0.118
04/23/12	14:50:00	2781	3123	672	342	0.109
04/23/12	14:55:00	2634	2790	672	156	0.055
04/23/12	15:00:00	2664	3019	672	355	0.117
04/23/12	15:05:00	2662	2890	672	228	0.078
04/23/12	15:10:00	2759	3170	672	411	0.129
04/23/12	15:15:00	2645	3070	672	425	0.138
04/23/12	15:20:00	2707	2979	672	272	0.091
04/23/12	15:25:00	2934	3422	672	488	0.142
04/23/12	15:30:00	2715	3144	672	429	0.136
04/23/12	15:35:00	2676	3158	672	482	0.152
04/23/12	15:40:00	2889	3497	672	608	0.173
04/23/12	15:45:00	2983	3460	672	477	0.137
04/23/12	15:50:00	2992	3613	672	621	0.171
04/23/12	15:55:00	3120	3905	672	785	0.201
04/23/12	16:00:00	2809	3319	672	510	0.153
04/23/12	16:05:00	2989	3555	672	566	0.159
04/23/12	16:10:00	3274	4080	672	806	0.197
04/23/12	16:15:00	3185	4200	672	1015	0.241
04/23/12	16:20:00	3312	4446	672	1134	0.255
04/23/12	16:25:00	3338	4486	672	1148	0.255
04/23/12	16:30:00	3614	4889	672	1275	0.260
04/23/12	16:35:00	3451	4693	672	1242	0.264
04/23/12	16:40:00	3318	4337	672	1019	0.234
04/23/12	16:45:00	3158	3993	672	835	0.209
04/23/12	16:50:00	3140	3855	672	715	0.185
