SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalayzedForBatt2012,Notes
F-1268,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,,49,1.1,Whole,NA,NA,NA,NA,-188.9,No,
F-1270,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,,49,1,Whole,NA,NA,NA,NA,-166.9,No,
F-1272,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,,81,5.7,Whole,NA,NA,NA,NA,-188.5,No,
F-1273,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,,NA,NA,Guts,NA,F-1272,NA,NA,-227,No,
F-1274,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,,50,1.2,Whole,NA,NA,NA,NA,-165.6,No,
F-1280,2012,Ward,All,C,NA,3,17-Jul-12,Fish,CMM,,43,0.9,Whole,NA,NA,NA,NA,-149.8,No,
F-1288,2012,Ward,All,C,NA,3,17-Jul-12,Fish,BHD,,114,17.8,Whole,NA,NA,NA,NA,-164.8,No,
F-1290,2012,Ward,All,C,NA,3,17-Jul-12,Fish,BHD,,103,14,Whole,NA,NA,NA,NA,-170.9,No,
F-1292,2012,Ward,All,C,NA,3,17-Jul-12,Fish,BHD,,93,10.4,Whole,NA,NA,NA,NA,-177,No,
F-1300,2012,Ward,All,C,NA,3,18-Jul-12,Fish,DAC,,58,1.8,Whole,NA,NA,NA,NA,-186.3,No,
F-1302,2012,Ward,All,C,NA,3,18-Jul-12,Fish,DAC,,49,1.2,Whole,NA,NA,NA,NA,-164.8,No,
F-1312,2012,Ward,All,A,NA,3,18-Jul-12,Fish,DAC,,46,0.8,Whole,NA,NA,NA,NA,-162.5,No,
F-1316,2012,Ward,All,A,NA,3,18-Jul-12,Fish,CMM,,94,7.3,Whole,NA,NA,NA,NA,-150.1,No,
F-1320,2012,Ward,All,B,NA,3,18-Jul-12,Fish,FHM,,52,1.5,Whole,NA,NA,NA,NA,-160.6,No,
F-1322,2012,Ward,All,B,NA,3,18-Jul-12,Fish,CMM,,89,8,Whole,NA,NA,NA,NA,-152,No,
F-1328,2012,Ward,All,B,NA,3,18-Jul-12,Fish,FHM,,82,4.8,Whole,NA,NA,NA,NA,-154.3,No,
F-1329,2012,Ward,All,B,NA,3,18-Jul-12,Fish,FHM,,NA,NA,Guts,NA,F-1328,NA,NA,-181.4,No,
F-1338,2012,Ward,All,A,NA,3,18-Jul-12,Fish,YWP,,79,5,Whole,NA,NA,NA,NA,-156.2,No,
