lake,datetime,depth,fracLight
Ward,2010-06-23,0.75,0.407
Ward,2010-06-23,1,0.281
Ward,2010-06-23,1.5,0.179
Ward,2010-06-23,2,0.122
Ward,2010-06-23,2.5,0.085
Ward,2010-06-23,3,0.062
Ward,2010-06-23,3.5,0.038
Ward,2010-06-23,4,0.02
Ward,2010-06-23,4.5,0.005
Ward,2010-06-23,5,0
Ward,2010-06-30,0,1
Ward,2010-06-30,0.25,0.701
Ward,2010-06-30,0.5,0.46
Ward,2010-06-30,0.75,0.342
Ward,2010-06-30,1,0.22
Ward,2010-06-30,1.5,0.117
Ward,2010-06-30,2,0.068
Ward,2010-06-30,2.5,0.042
Ward,2010-06-30,3,0.027
Ward,2010-06-30,3.5,0.015
Ward,2010-06-30,4,0.006
Ward,2010-06-30,4.5,0.002
Ward,2010-06-30,5,0
Ward,2010-07-07,0,1
Ward,2010-07-07,0.25,0.734
Ward,2010-07-07,0.5,0.49
Ward,2010-07-07,0.75,0.419
Ward,2010-07-07,1,0.265
Ward,2010-07-07,1.5,0.157
Ward,2010-07-07,2,0.091
Ward,2010-07-07,2.5,0.055
Ward,2010-07-07,3.5,0.022
Ward,2010-07-07,4,0.013
Ward,2010-07-07,4.5,0.004
Ward,2010-07-07,5,0
Ward,2010-07-14,0,1
Ward,2010-07-14,0.25,0.761
Ward,2010-07-14,0.5,0.547
Ward,2010-07-14,0.75,0.388
Ward,2010-07-14,1,0.288
Ward,2010-07-14,1.5,0.18
Ward,2010-07-14,2,0.118
Ward,2010-07-14,2.5,0.079
Ward,2010-07-14,3,0.052
Ward,2010-07-14,3.5,0.033
Ward,2010-07-14,4,0.02
Ward,2010-07-14,4.5,0.006
Ward,2010-07-14,5,0
Ward,2010-07-14,5.5,0
Ward,2010-07-21,0,1
Ward,2010-07-21,0.25,0.72
Ward,2010-07-21,0.5,0.539
Ward,2010-07-21,0.75,0.403
Ward,2010-07-21,1,0.262
Ward,2010-07-21,1.5,0.134
Ward,2010-07-21,2,0.09
Ward,2010-07-21,2.5,0.057
Ward,2010-07-21,3,0.032
Ward,2010-07-21,3.5,0.015
Ward,2010-07-21,4,0.008
Ward,2010-07-21,4.5,0.003
Ward,2010-07-21,5,0
Ward,2010-07-21,5.5,0
Ward,2010-07-28,0,1
Ward,2010-07-28,0.25,0.728
Ward,2010-07-28,0.5,0.432
Ward,2010-07-28,0.75,0.31
Ward,2010-07-28,1,0.223
Ward,2010-07-28,1.5,0.14
Ward,2010-07-28,2,0.086
Ward,2010-07-28,2.5,0.053
Ward,2010-07-28,3,0.031
Ward,2010-07-28,3.5,0.016
Ward,2010-07-28,4,0.009
Ward,2010-07-28,4.5,0.003
Ward,2010-07-28,5,0
Ward,2010-08-04,0,1
Ward,2010-08-04,0.25,0.68
Ward,2010-08-04,0.5,0.417
Ward,2010-08-04,0.75,0.298
Ward,2010-08-04,1,0.183
Ward,2010-08-04,1.5,0.1
Ward,2010-08-04,2,0.055
Ward,2010-08-04,2.5,0.033
Ward,2010-08-04,3,0.02
Ward,2010-08-04,3.5,0.012
Ward,2010-08-04,4,0.006
Ward,2010-08-04,4.5,0.002
Ward,2010-08-04,5,0
Ward,2010-08-11,0,1
Ward,2010-08-11,0.25,0.656
Ward,2010-08-11,0.5,0.415
Ward,2010-08-11,0.75,0.311
Ward,2010-08-11,1,0.19
Ward,2010-08-11,1.5,0.098
Ward,2010-08-11,2,0.064
Ward,2010-08-11,2.5,0.04
Ward,2010-08-11,3,0.022
Ward,2010-08-11,3.5,0.011
