"datetime" "do.obs" "do.sat" "wtr" "z.mix" "baro" "z1perc" "irr" "wnd" "top" "k600.cole" "k.gas"
2010-07-03 18:20:00 9.59699935583103 7.99013282389216 25.9 0.5 959.999989774093 3.8 676.2 2.83890175766852 0.5 0.800892227539719 0.979468135052844
2010-07-03 18:25:00 9.52736412807592 7.97970790840099 26.01 0.5 959.999989774093 3.8 648.7 2.5970222357147 0.5 0.758171564448111 0.929583048832752
2010-07-03 18:30:00 9.52634728831688 7.99776765337846 25.82 0.5 959.999989774093 3.8 641.2 3.3099303004207 0.5 0.891567820826148 1.08834624826006
2010-07-03 18:35:00 9.58592528010529 8.00064227257584 25.79 0.5 959.999989774093 3.8 371.2 3.3099303004207 0.5 0.891567820826148 1.08759122031718
2010-07-03 18:40:00 9.47689193283392 7.97782152068048 26.03 0.5 959.999989774093 3.8 653.7 4.25198738592505 0.5 1.10110480340118 1.35067272362568
2010-07-03 18:45:00 9.53748558625692 7.96283027445772 26.19 0.5 959.999989774093 3.8 656.2 3.3099303004207 0.5 0.891567820826148 1.09769473060666
2010-07-03 18:50:00 9.56720744083712 7.96562763937449 26.16 0.5 959.999989774093 3.8 601.2 2.83890175766852 0.5 0.800892227539719 0.985372082721681
2010-07-03 18:55:00 9.57692609129994 7.96562763937449 26.16 0.5 959.999989774093 3.8 521.2 4.01010786397123 0.5 1.04383484914541 1.28427481744899
2010-07-03 19:00:00 9.62549327309721 7.99203733363676 25.88 0.5 959.999989774093 3.8 463.7 3.53907932121906 0.5 0.939147121780857 1.1480188118182
2010-07-03 19:05:00 9.66390719481791 8.02191635045993 25.57 0.5 959.999989774093 3.8 436.2 2.83890175766852 0.5 0.800892227539719 0.972017195633461
2010-07-03 19:10:00 9.70441954972734 8.0083388283005 25.71 0.5 959.999989774093 3.8 388.7 2.83890175766852 0.5 0.800892227539719 0.97517259353202
2010-07-03 19:15:00 9.30277529791441 8.03661781257364 25.42 0.5 959.999989774093 3.8 353.7 3.3099303004207 0.5 0.891567820826148 1.07831353557091
2010-07-03 19:20:00 9.40338534335572 8.0209419321402 25.58 0.5 959.999989774093 3.8 238.7 3.06805077846688 0.5 0.843789253911501 1.02431711599086
2010-07-03 19:25:00 9.55478436582413 7.98918161709631 25.91 0.5 959.999989774093 3.8 113.7 3.06805077846688 0.5 0.843789253911501 1.03216860973191
2010-07-03 19:30:00 9.64431728619845 7.99585474601189 25.84 0.5 959.999989774093 3.8 176.2 3.53907932121906 0.5 0.939147121780857 1.14695726927983
2010-07-03 19:35:00 9.44666930496465 7.94250555604479 26.41 0.5 959.999989774093 3.8 211.2 3.53907932121906 0.5 0.939147121780857 1.16216477775965
2010-07-03 19:40:00 9.36593206556737 7.95447541680409 26.28 0.5 959.999989774093 3.8 126.2 3.06805077846688 0.5 0.843789253911501 1.04103208571864
2010-07-03 19:45:00 9.48500667550995 7.97030373849805 26.11 0.5 959.999989774093 3.8 138.7 3.3099303004207 0.5 0.891567820826148 1.0956675731086
2010-07-03 19:50:00 9.37196563706961 8.02973722770223 25.49 0.5 959.999989774093 3.8 111.2 2.5970222357147 0.5 0.758171564448111 0.918464993217294
2010-07-03 19:55:00 9.42224721976251 8.01802292503197 25.61 0.5 959.999989774093 3.8 96.2 2.36787321491635 0.5 0.720187597769578 0.874878530523903
2010-07-03 20:00:00 9.52453624054967 7.96843122347088 26.13 0.5 959.999989774093 3.8 81.2 2.83890175766852 0.5 0.800892227539719 0.984689282711794
2010-07-03 20:05:00 9.2664232006206 7.92793200793901 26.57 0.5 959.999989774093 3.8 63.7 2.5970222357147 0.5 0.758171564448111 0.941686008785225
2010-07-03 20:10:00 9.04637513439532 7.92612256604324 26.59 0.5 959.999989774093 3.8 63.7 2.12599369296253 0.5 0.682796620666215 0.84845837750216
2010-07-03 20:15:00 9.51517673689212 7.94433953506736 26.39 0.5 959.999989774093 3.8 56.2 2.83890175766852 0.5 0.800892227539719 0.990621081933832
2010-07-03 20:20:00 9.42318005084913 7.98159707766622 25.99 0.5 959.999989774093 3.8 61.2 2.5970222357147 0.5 0.758171564448111 0.929153386050407
2010-07-03 20:25:00 9.28345891929269 7.97311770528973 26.08 0.5 959.999989774093 3.8 53.7 3.3099303004207 0.5 0.891567820826148 1.09490824049354
2010-07-03 20:30:00 9.2222418190493 7.99489934306776 25.85 0.5 959.999989774093 3.8 43.7 2.5970222357147 0.5 0.758171564448111 0.926150458128124
2010-07-03 20:35:00 9.25312960373937 7.97124103457116 26.1 0.5 959.999989774093 3.8 33.7 3.06805077846688 0.5 0.843789253911501 1.03671183166922
2010-07-03 20:40:00 9.29252132668203 7.98065214519413 26 0.5 959.999989774093 3.8 23.7 2.83890175766852 0.5 0.800892227539719 0.981735269069586
2010-07-03 20:45:00 9.36195805758298 7.98918161709631 25.91 0.5 959.999989774093 3.8 16.2 2.36787321491635 0.5 0.720187597769578 0.880972385095048
2010-07-03 20:50:00 9.28233286729731 7.97876436699397 26.02 0.5 959.999989774093 3.8 11.2 3.06805077846688 0.5 0.843789253911501 1.03479680641926
2010-07-03 20:55:00 9.28172220429984 7.98538377020826 25.95 0.5 959.999989774093 3.8 6.2 2.36787321491635 0.5 0.720187597769578 0.881787536274233
2010-07-03 21:00:00 9.28120436424425 7.99299063717621 25.87 0.5 959.999989774093 3.8 3.7 2.36787321491635 0.5 0.720187597769578 0.880157867198199
2010-07-03 21:05:00 9.35101577524905 7.99394464022125 25.86 0.5 959.999989774093 3.8 1.2 2.5970222357147 0.5 0.758171564448111 0.926364682775309
